,seriesName,network,genre,runtime,firstAired,siteRating,siteRatingCount,rating
117,Inside The NFL,Showtime,"['Sport', 'Talk Show']",60,1977-09-14,7.0,3.0,
118,Sleeper Cell,Showtime,['Drama'],60,2005-09-04,7.9,22.0,TV-MA
119,Dark Net,Showtime,['Documentary'],30,2016-01-21,7.5,4.0,TV-MA
120,Time of Death,Showtime,['Reality'],60,2013-11-01,0.0,0.0,TV-MA
121,Inside Comedy,Showtime,"['Comedy', 'Documentary', 'Talk Show']",20,2012-01-26,8.0,4.0,
122,This American Life,Showtime,['Documentary'],30,2007-03-22,9.5,4.0,
123,Fat Actress,Showtime,['Comedy'],60,2005-03-07,5.0,1.0,
124,Game of Thrones,HBO,"['Adventure', 'Drama', 'Fantasy']",55,2011-04-17,9.5,1695.0,TV-MA
125,The Sopranos,HBO,"['Crime', 'Drama']",60,1999-01-10,9.2,183.0,TV-MA
126,Boardwalk Empire,HBO,"['Crime', 'Drama']",60,2010-09-19,8.9,193.0,TV-MA
127,True Blood,HBO,"['Drama', 'Fantasy', 'Horror', 'Mystery']",50,2008-09-07,8.5,434.0,TV-MA
128,Vinyl,HBO,['Drama'],60,2016-02-14,8.1,15.0,TV-MA
129,The Leftovers,HBO,"['Drama', 'Fantasy', 'Mystery']",60,2014-06-30,8.2,60.0,TV-MA
130,Girls,HBO,"['Comedy', 'Drama']",30,2012-04-15,7.0,47.0,TV-MA
131,The Wire,HBO,"['Crime', 'Drama']",60,2002-06-02,9.5,232.0,TV-MA
132,Treme,HBO,['Drama'],60,2010-04-11,8.8,33.0,TV-MA
133,Deadwood,HBO,"['Crime', 'Drama', 'Western']",60,2004-03-21,9.1,101.0,TV-MA
134,Veep,HBO,['Comedy'],30,2012-04-22,8.4,49.0,TV-MA
135,Silicon Valley,HBO,['Comedy'],30,2014-04-06,8.8,85.0,TV-MA
136,Curb Your Enthusiasm,HBO,['Comedy'],30,2000-10-01,8.7,105.0,TV-MA
137,Westworld,HBO,"['Drama', 'Science-Fiction', 'Western']",60,2016-10-02,8.9,83.0,TV-MA
138,Six Feet Under,HBO,"['Comedy', 'Drama']",60,2001-06-03,8.9,85.0,TV-MA
139,Insecure,HBO,['Comedy'],30,2016-10-09,8.0,3.0,
140,True Detective,HBO,"['Crime', 'Drama', 'Mystery']",60,2014-01-12,9.1,179.0,TV-MA
141,Sex and the City,HBO,['Comedy'],30,1998-06-06,7.5,47.0,TV-MA
142,Band of Brothers,HBO,"['Action', 'Adventure', 'Drama', 'Mini-Series']",60,2001-09-09,9.4,280.0,TV-MA
143,Oz,HBO,['Drama'],55,1997-07-12,8.7,58.0,TV-MA
144,The Newsroom,CBC (CA),['Comedy'],30,1996-10-01,9.3,3.0,
145,Big Love,HBO,['Drama'],60,2006-03-12,8.3,33.0,TV-MA
146,Real Time with Bill Maher,HBO,"['Comedy', 'Talk Show']",55,2003-02-21,9.3,41.0,TV-MA
147,The Pacific,HBO,"['Drama', 'Mini-Series']",60,2010-03-14,8.6,147.0,TV-MA
148,Ballers,HBO,"['Comedy', 'Drama', 'Sport']",30,2015-06-21,8.2,23.0,TV-MA
149,Rome,HBO,"['Action', 'Adventure', 'Drama']",60,2005-08-28,9.0,151.0,TV-MA
150,Flight of the Conchords,HBO,['Comedy'],30,2007-06-17,8.4,85.0,TV-14
151,Big Little Lies,HBO,"['Comedy', 'Crime', 'Drama', 'Mini-Series', 'Mystery']",60,2017-02-19,9.0,15.0,TV-MA
152,Bored to Death,HBO,"['Comedy', 'Crime', 'Mystery']",30,2009-09-20,8.3,57.0,TV-MA
153,Crashing,Channel 4,['Comedy'],25,2016-01-11,0.0,0.0,
154,Togetherness,HBO,['Comedy'],30,2015-01-11,6.3,7.0,TV-MA
155,The Divorce,ABC1,"['Comedy', 'Drama', 'Mini-Series', 'Special Interest']",30,2015-12-07,9.0,1.0,
156,The Larry Sanders Show,HBO,['Comedy'],30,1992-08-01,8.0,13.0,TV-MA
157,Hung,HBO,"['Comedy', 'Drama']",30,2009-06-28,7.6,61.0,TV-MA
158,The Night Of,HBO,"['Drama', 'Mini-Series']",60,2016-07-10,8.7,24.0,TV-MA
159,The Vice,ITV,['Drama'],50,1999-01-04,8.5,2.0,TV-14
160,The Young Pope,Sky Atlantic (IT),['Drama'],55,2016-10-21,7.6,8.0,
161,Carnivàle,HBO,"['Drama', 'Fantasy']",60,2003-09-14,8.6,61.0,TV-MA
162,Comeback,TV Nova,['Comedy'],30,2008-09-04,7.8,9.0,
163,Vice Principals,HBO,['Comedy'],30,2016-07-17,7.5,8.0,TV-MA
164,In Treatment,HBO,['Drama'],25,2008-01-28,8.3,23.0,TV-MA
165,Enlightened,HBO,"['Comedy', 'Drama']",30,2011-10-10,7.3,12.0,TV-MA
166,Getting On,BBC Four,"['Comedy', 'Drama']",30,2009-07-08,9.0,2.0,TV-14
167,Tales from the Crypt,HBO,"['Comedy', 'Fantasy', 'Horror', 'Suspense']",25,1989-06-01,8.8,26.0,
168,Hello Ladies,HBO,['Comedy'],30,2013-09-29,7.9,15.0,TV-MA
